state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
checked,S,DART: A Diffusion-Based Autoregressive Motion Model for Real-Time Text-Driven Motion Control,ICLR 2025,https://zkf1997.github.io/DART/,https://arxiv.org/pdf/2410.05260.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2025/2025_DART_A_Diffusion_Based_Autoregressive_Motion_Model_for_Real_Time_Text_Driven_Motion_Control.pdf
checked,S,MoMask: Generative Masked Modeling of 3D Human Motions,CVPR 2024,https://ericguo5513.github.io/momask/,https://arxiv.org/pdf/2312.00063.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/CVPR_2024/2024_MoMask_Generative_Masked_Modeling_of_3D_Human_Motions.pdf
checked,S,OmniControl: Control Any Joint at Any Time for Human Motion Generation,ICLR 2024,https://neu-vi.github.io/omnicontrol/,https://arxiv.org/pdf/2310.08580.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2024/2024_OmniControl_Control_Any_Joint_at_Any_Time_for_Human_Motion_Generation.pdf
checked,S,ReactDance: Hierarchical Representation for High-Fidelity and Coherent Long-Form Reactive Dance Generation,ICLR 2026,https://ripemangobox.github.io/ReactDance,https://arxiv.org/abs/2505.05589,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2026/2026_ReactDance_Hierarchical_Representation_for_High_Fidelity_and_Coherent_Long_Form_Reactive_Dance_Generation.pdf
checked,S,HY-Motion 1.0: Scaling Flow Matching Models for Text-To-Motion Generation,Technical Report 2025,https://hunyuan.tencent.com/motion?tabIndex=0,https://arxiv.org/abs/2512.23464,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/Tencent_HY/2025_HY_Motion_1_0_Scaling_Flow_Matching_Text_to_Motion.pdf
checked,S,Being-M0: Scaling Motion Generation Models with Million-Level Human Motions,ICML 2025,https://beingbeyond.github.io/Being-M0/,https://arxiv.org/pdf/2410.03311.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICML_2025/2025_Being_M0_Scaling_Motion_Generation_Models_with_Million_Level_Human_Motions.pdf
checked,S,MotionLab: Unified Human Motion Generation and Editing via the Motion-Condition-Motion Paradigm,ICCV 2025,https://diouo.github.io/motionlab.github.io/,https://arxiv.org/pdf/2502.02358.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICCV_2025/2025_MotionLab_Unified_Human_Motion_Generation_and_Editing_via_the_Motion_Condition_Motion_Paradigm.pdf
checked,S,ScaMo: Exploring the Scaling Law in Autoregressive Motion Generation Model,CVPR 2025,https://shunlinlu.github.io/ScaMo/,https://arxiv.org/pdf/2412.14559.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/CVPR_2025/2025_ScaMo_Exploring_the_Scaling_Law_in_Autoregressive_Motion_Generation_Model.pdf
checked,S,SOLAMI: Social Vision-Language-Action Modeling for Immersive Interaction with 3D Autonomous Characters,CVPR 2025,https://solami-ai.github.io/,https://arxiv.org/pdf/2412.00174.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/CVPR_2025/2025_SOLAMI_Social_Vision_Language_Action_Modeling_for_Immersive_Interaction_with_3D_Autonomous_Characters.pdf
checked,S,Motion-Agent: A Conversational Framework for Human Motion Generation with LLMs,ICLR 2025,https://knoxzhao.github.io/Motion-Agent/,https://arxiv.org/pdf/2405.17013.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2025/2025_Motion_Agent_A_Conversational_Framework_for_Human_Motion_Generation_with_LLMs.pdf
checked,S,CLoSD: Closing the Loop between Simulation and Diffusion for Multi-Task Character Control,ICLR 2025,https://guytevet.github.io/CLoSD-page/,https://arxiv.org/pdf/2410.03441.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2025/2025_CLoSD_Closing_the_Loop_between_Simulation_and_Diffusion_for_Multi_Task_Character_Control.pdf
checked,S,"Language-Motion Pretraining for Motion Generation,Retrieval,and Captioning",ICLR 2025,https://aigc3d.github.io/LaMP/,https://arxiv.org/pdf/2410.07093.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2025/2025_Language_Motion_Pretraining_for_Motion_Generation_Retrieval_and_Captioning.pdf
checked,S,MotionGPT: Human Motion as Foreign Language,NeurIPS 2023,https://motion-gpt.github.io/,https://arxiv.org/pdf/2306.10900.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/NeurIPS_2023/2023_MotionGPT_Human_Motion_as_Foreign_Language.pdf
checked,S,T2M-GPT: Generating Human Motion from Textual Descriptions with Discrete Representations,CVPR 2023,https://mael-zys.github.io/T2M-GPT/,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhang_Generating_Human_Motion_From_Textual_Descriptions_With_Discrete_Representations_CVPR_2023_paper.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/CVPR_2023/2023_T2M_GPT_Generating_Human_Motion_from_Textual_Descriptions_with_Discrete_Representations.pdf
Wait,S,HHOI: Learning to Generate Human-Human-Object Interactions from Textual Descriptions,NeurIPS 2025,https://tlb-miss.github.io/hhoi/,https://arxiv.org/pdf/2409.08706.pdf,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/NeurIPS_2025/2025_HHOI_Learning_to_Generate_Human_Human_Object_Interactions_from_Textual_Descriptions.pdf
checked,S,SyncDiff: Synchronized Motion Diffusion for Multi-Body Human-Object Interaction Synthesis,ICCV 2025,https://syncdiff.github.io/,https://arxiv.org/pdf/2412.20104.pdf,Human_Object_Interaction,paperPDFs/Human_Object_Interaction/ICCV_2025/2025_SyncDiff_Synchronized_Motion_Diffusion_for_Multi_Body_Human_Object_Interaction_Synthesis.pdf
